time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.46249e-06	2.24323
1	4.46249e-06	1.07118e-05	2.24323
2	1.07118e-05	1.94635e-05	42.7388
3	1.94635e-05	3.17194e-05	1570.41
4	3.17194e-05	4.88828e-05	4456.75
5	4.88828e-05	7.29186e-05	2856.15
6	7.29186e-05	0.000106579	1792.65
7	0.000106579	0.000153717	1442.33
8	0.000153717	0.00021973	1570.11
9	0.00021973	0.000312175	2151.79
10	0.000312175	0.000441637	2756.22
11	0.000441637	0.000622938	3089.8
12	0.000622938	0.000876834	2808.84
13	0.000876834	0.00123239	2140.74
14	0.00123239	0.00173032	1372.47
15	0.00173032	0.00242763	2041.27
16	0.00242763	0.00340415	1746.27
17	0.00340415	0.00477169	307.591
18	0.00477169	inf	307.591
